 ,Political Science,Sociology,Business,Philosophy,Economics,Art,Computer Science,Mathematics,Materials Science,Physics,History,Psychology,Geology,Geography,Engineering,Environmental Science,Chemistry,Medicine
2009,1,1,1,0.968167232,1,0.957837108,1,1,1,0.984896534,0.845546245,0.77785296,0.821047578,0.73660845,0.88078616,0.673181471,0.347732308,0.293402233,
2010,1,1,1,0.971955593,1,0.957722959,1,0.99893891,1,0.974660729,0.843647123,0.781111148,0.816850676,0.737084117,0.867939786,0.669609032,0.347189207,0.297294362,
2011,1,1,1,0.975523235,1,0.957405285,1,0.99321996,0.991255755,0.962607045,0.842642747,0.785377092,0.813152681,0.738183929,0.85302892,0.666130745,0.346104602,0.301217152,
2012,1,1,1,0.978696524,1,0.956967569,1,0.987187012,0.97349097,0.950361094,0.841941063,0.789826486,0.80988977,0.739504111,0.837924897,0.662901245,0.344645812,0.305208879,
2013,1,1,1,0.981250947,1,0.956131898,1,0.981008937,0.956505474,0.938272168,0.841039469,0.794096325,0.807003766,0.74059417,0.823027002,0.659864089,0.343604582,0.309386525,
2014,1,1,1,0.983306671,1,0.955307917,1,0.975256199,0.939867578,0.926546362,0.840492181,0.798246786,0.80473088,0.741872847,0.808685842,0.657092764,0.342521658,0.313535609,
2015,1,1,1,0.985233504,1,0.954522924,0.991385061,0.968802272,0.923193393,0.914074367,0.839993967,0.802013041,0.802829513,0.743206714,0.79376963,0.654361389,0.34154796,0.317220097,
2016,1,1,1,0.986343148,1,0.9533999,0.981875144,0.96157399,0.907532716,0.901506746,0.83924199,0.804726316,0.800438568,0.744226604,0.778650333,0.651169628,0.343138476,0.320072486,
2017,1,1,1,0.986303128,1,0.951584849,0.971001612,0.953432102,0.892315148,0.888258876,0.838208652,0.806328868,0.798060733,0.745046423,0.763160913,0.647998482,0.344339166,0.322502995,
2018,1,1,1,0.985130239,0.993787043,0.949589838,0.959743533,0.944789132,0.880327377,0.876953026,0.836453631,0.806375321,0.795083677,0.74463048,0.748893446,0.644250019,0.344710037,0.32319583,
2019,1,1,1,0.983751797,0.984113797,0.947478395,0.948287794,0.936499766,0.869241147,0.866497599,0.835270813,0.806399473,0.792793029,0.744486796,0.735087313,0.641023015,0.345039973,0.323632835,
2020,1,1,1,0.983327884,0.980837735,0.946895956,0.944538107,0.933714244,0.865826449,0.863275801,0.835127061,0.806289172,0.792309613,0.744540717,0.730703373,0.640007979,0.345314342,0.323818952,
