 ,Biology,Chemistry,Physics,Materials Science,Geology,Engineering,Medicine,Mathematics,Environmental Science,Computer Science,Art,Psychology,Geography,Philosophy,History,Business,Economics,Sociology
2009,1,1,1,1,1,0.919756627,0.959341565,0.923329165,0.872299969,0.818173588,0.524681754,0.551598875,0.519780617,0.477124476,0.419702663,0.352766149,0.330399998,0.26058551,
2010,1,1,1,1,1,0.920624924,0.956785629,0.922970065,0.866706052,0.818930345,0.526379059,0.54884143,0.51718831,0.479281713,0.424828184,0.35427836,0.333221517,0.260102716,
2011,1,1,1,1,1,0.92322226,0.954986223,0.922907796,0.863707139,0.819682311,0.528433813,0.546301437,0.515292649,0.481444532,0.429983611,0.356352845,0.336729669,0.259818901,
2012,1,1,1,1,1,0.926308487,0.953456756,0.923791693,0.861624747,0.821093298,0.530611824,0.544335586,0.514157107,0.483798721,0.434849367,0.358873718,0.340645398,0.259800687,
2013,1,1,1,1,1,0.929606521,0.952008628,0.924825028,0.858987644,0.822599841,0.533416671,0.542778818,0.514123479,0.48651158,0.440075584,0.361293998,0.344822602,0.259952754,
2014,1,1,1,1,0.993977619,0.933175187,0.950451821,0.925928525,0.857403002,0.824132597,0.536642109,0.541601754,0.513698195,0.489265723,0.445448407,0.364044772,0.349114876,0.260247667,
2015,1,1,1,1,0.986596379,0.936974635,0.949411071,0.926751407,0.857216727,0.824851666,0.53959347,0.541086044,0.514091552,0.491748352,0.449797092,0.3669947,0.353526108,0.26074243,
2016,1,1,1,1,0.981893641,0.94158687,0.948831006,0.928006561,0.859229682,0.827889161,0.542295375,0.541165265,0.515570041,0.493716156,0.453332551,0.370284544,0.358155184,0.261232588,
2017,1,1,1,1,0.977359989,0.945734704,0.948335411,0.928844701,0.860731743,0.830662246,0.54556147,0.541859896,0.51718588,0.495334521,0.456671777,0.37360176,0.363070433,0.261890178,
2018,1,1,1,1,0.972245535,0.948133461,0.946867447,0.929062398,0.861099903,0.83271641,0.548332577,0.542154413,0.518692158,0.496245055,0.45942339,0.376729048,0.367619544,0.262373889,
2019,1,1,1,1,0.966940236,0.949566719,0.945500677,0.928216157,0.860969266,0.8338022,0.551570065,0.542655947,0.520011982,0.49729238,0.462014779,0.379540097,0.37214268,0.262917962,
2020,1,1,1,1,0.964846851,0.949601382,0.945144734,0.927469942,0.860321519,0.8338017,0.552867189,0.542954644,0.520184565,0.497777817,0.462811882,0.380401013,0.373593973,0.263032155,
