 ,Chemistry,Physics,Materials Science,Engineering,Biology,Environmental Science,Geology,Medicine,Mathematics,Computer Science,Geography,Business,Economics,Psychology,Political Science,Sociology,History,Art
1993,0.929968365,0.888281512,0.980425191,0.916742139,0.856769769,0.948108258,0.915525484,0.860424101,0.780519765,0.702276598,0.727343872,0.720744614,0.666575347,0.642376021,0.473097815,0.466034955,0.409647658,0.392058605,
1994,0.937650724,0.891746337,0.990210903,0.920266533,0.863242326,0.953257576,0.916238879,0.86560135,0.779922787,0.703865294,0.72749295,0.71851259,0.664987069,0.640098182,0.471902496,0.463751395,0.406662098,0.389993443,
1995,0.945813943,0.895470945,0.998970388,0.923020419,0.870276998,0.956257079,0.918912044,0.871463095,0.77987509,0.705230999,0.728828198,0.716068508,0.663493635,0.638086536,0.471040387,0.461288386,0.404320381,0.388473692,
1996,0.953792262,0.899841583,1,0.92546956,0.877098466,0.960965867,0.922672086,0.87707028,0.78016365,0.706827303,0.72905493,0.715386594,0.662276493,0.636185919,0.469969789,0.459371853,0.402401224,0.386431701,
1997,0.962683019,0.904992769,1,0.928582982,0.88499619,0.965091594,0.926779907,0.883557444,0.781098716,0.709340333,0.730429434,0.714748852,0.661213071,0.635154233,0.469474665,0.457822255,0.401049364,0.384583838,
1998,0.971521627,0.910198281,1,0.93142068,0.893036437,0.969102185,0.929818872,0.890469329,0.782369102,0.711584788,0.730834215,0.713150648,0.660107354,0.634169227,0.468454077,0.456630783,0.399934725,0.382498729,
1999,0.980869477,0.915908839,1,0.933843024,0.901239294,0.972458233,0.93327956,0.897100158,0.783525121,0.71399522,0.731102212,0.712666296,0.660121782,0.632873226,0.468139474,0.455367403,0.399159401,0.380498319,
2000,0.99044617,0.920881864,1,0.936716464,0.909316012,0.974758024,0.936597687,0.90360004,0.785133228,0.716859462,0.731215868,0.712304518,0.65938292,0.631918797,0.467573171,0.454323149,0.399114979,0.378739314,
2001,1,0.926237629,1,0.937984829,0.917291654,0.976988898,0.939981903,0.909398049,0.78621218,0.718276877,0.730792511,0.711414943,0.659210165,0.630058957,0.467659666,0.453377823,0.39906046,0.377668811,
2002,1,0.931300096,1,0.940346186,0.92519308,0.977575743,0.9426533,0.915238498,0.787791679,0.721239138,0.729618654,0.710086222,0.658854345,0.628451082,0.467735576,0.452607025,0.399193672,0.375862237,
2003,1,0.935665417,1,0.942220744,0.932258291,0.97885367,0.945073148,0.920041983,0.789784586,0.724847186,0.729926114,0.709432696,0.659494669,0.626488127,0.468512901,0.452425186,0.399450567,0.374742714,
2004,1,0.941036497,1,0.945106213,0.939269519,0.980213034,0.948665977,0.924129531,0.792794655,0.730029118,0.730497623,0.70864243,0.660476168,0.625017385,0.469992749,0.452703541,0.401093989,0.374578455,
2005,1,0.94684236,1,0.948535483,0.945942083,0.981059405,0.95230052,0.928159788,0.795958205,0.735191538,0.730594424,0.707980773,0.661399204,0.623609902,0.471567734,0.45299356,0.402355167,0.374259262,
2006,1,0.952519526,1,0.95195117,0.952440508,0.982691553,0.955309888,0.931891144,0.800022014,0.740770202,0.731168849,0.70756746,0.662840602,0.622089103,0.472768415,0.453424725,0.404117739,0.374009639,
2007,1,0.958519361,1,0.955147528,0.958297993,0.982877601,0.9586372,0.934712533,0.803732288,0.745709567,0.731419342,0.707114833,0.664454653,0.620725895,0.474639634,0.45451082,0.406703062,0.374659072,
2008,1,0.964914847,1,0.959057667,0.963691585,0.984943965,0.96324496,0.937236842,0.806871972,0.750480522,0.731649163,0.706513729,0.665706117,0.619128368,0.47575834,0.455126327,0.409568885,0.375198939,
2009,1,0.97012745,1,0.962092103,0.968167232,0.98557454,0.966696951,0.939314144,0.81168469,0.756221485,0.731878771,0.706879893,0.667957281,0.617980874,0.477124476,0.456175442,0.412641404,0.375559682,
2010,1,0.974995481,1,0.965867361,0.971955593,0.985993116,0.970854317,0.940372522,0.816569554,0.761979151,0.732554144,0.707420765,0.67034554,0.617017314,0.479281713,0.457647882,0.415447095,0.376621019,
2011,1,0.979949608,1,0.969680585,0.975523235,0.986894802,0.974530748,0.941352346,0.821540277,0.76738909,0.732173167,0.708511783,0.672904734,0.616551953,0.481444532,0.459210469,0.418140301,0.377752359,
2012,1,0.984602968,1,0.973762731,0.978696524,0.987412002,0.977165494,0.942325285,0.826737813,0.773192068,0.733514858,0.710157194,0.676139213,0.616553568,0.483798721,0.461170455,0.421536515,0.379269564,
2013,1,0.989783791,1,0.977891287,0.981250947,0.987850618,0.980779612,0.943039643,0.831761196,0.778598909,0.73534185,0.712263825,0.679558485,0.616881684,0.48651158,0.46307425,0.425349205,0.380880577,
2014,1,0.994440446,1,0.981847165,0.983306671,0.98819354,0.982971841,0.943679898,0.836799548,0.784033335,0.737029484,0.713491072,0.683073482,0.617534631,0.489265723,0.465296415,0.429277548,0.382994342,
2015,1,0.998545728,1,0.985560378,0.985233504,0.98900889,0.984686502,0.944420274,0.841700342,0.789047177,0.738885173,0.715034838,0.686476184,0.618410683,0.491748352,0.46723364,0.433101471,0.385294779,
2016,1,1,1,0.9891782,0.986343148,0.989035495,0.985212069,0.944912798,0.846166712,0.794135058,0.74081199,0.716228341,0.689675899,0.619464694,0.493716156,0.468981958,0.436838579,0.387836705,
2017,1,1,1,0.991971698,0.986303128,0.987737091,0.984484635,0.944844097,0.850246451,0.798751695,0.742346645,0.71716285,0.692788752,0.620648503,0.495334521,0.470693747,0.440580317,0.39095923,
2018,1,1,1,0.993192382,0.985130239,0.985061969,0.982863434,0.943823628,0.853270069,0.802143943,0.743628682,0.717220953,0.69486183,0.621269512,0.496245055,0.472022077,0.443809506,0.394224417,
2019,1,1,1,0.993409538,0.983751797,0.981879986,0.980438146,0.942692869,0.855429416,0.804554298,0.744521285,0.71691315,0.696746009,0.622071866,0.49729238,0.473352102,0.447040108,0.397808561,
2020,1,1,1,0.993132637,0.983327884,0.980732963,0.979538444,0.94239409,0.855848831,0.805015029,0.744751101,0.716905024,0.697468204,0.622418866,0.497777817,0.473818555,0.447983486,0.399177354,
