source,target,value
93,237,0.6658
62,108,0.6655
14,177,0.6654
5,91,0.665
67,191,0.6649
23,173,0.6647000000000001
91,133,0.6638999999999999
75,123,0.6638999999999999
129,200,0.6637
26,133,0.6634
122,178,0.6633
38,41,0.6632
62,153,0.6631
83,201,0.663
36,182,0.6629
2,78,0.6627000000000001
104,114,0.6627000000000001
50,54,0.6627000000000001
172,192,0.6624
14,91,0.6623
59,110,0.6621
155,190,0.6617999999999999
119,139,0.6617999999999999
165,187,0.6617
15,47,0.6616
103,108,0.6612
13,145,0.6612
58,177,0.6611
13,24,0.6609
13,184,0.6606000000000001
52,86,0.6605
58,67,0.6605
106,185,0.6604
90,186,0.6604
123,171,0.6603
197,219,0.6599999999999999
87,196,0.6599999999999999
130,159,0.6598999999999999
84,179,0.6598999999999999
30,185,0.6595
25,67,0.6595
52,94,0.6594
140,156,0.6594
142,180,0.6593
142,181,0.6592
196,244,0.6591
15,133,0.6588
54,172,0.6584
53,78,0.6584
16,168,0.6584
72,140,0.6583
67,133,0.6582
152,190,0.6581
34,158,0.6578999999999999
84,126,0.6577
50,164,0.6577
102,105,0.6573
24,79,0.6572
25,109,0.6571
126,173,0.6571
127,243,0.6568
91,129,0.6565
142,161,0.6564
21,120,0.6563
6,91,0.6563
65,137,0.6562
111,173,0.6562
10,115,0.6561
117,152,0.6558999999999999
171,192,0.6558999999999999
141,158,0.6558999999999999
60,146,0.6558999999999999
91,145,0.6557999999999999
26,90,0.6557
79,176,0.6555
74,78,0.6554
109,177,0.6554
23,124,0.655
70,121,0.6548
118,180,0.6546000000000001
23,85,0.6545000000000001
89,148,0.6542
8,171,0.6542
6,176,0.654
20,158,0.6538999999999999
86,219,0.6537
85,139,0.6537
47,106,0.6534
150,229,0.6534
31,106,0.6534
26,30,0.6533
23,84,0.6532
95,219,0.6532
171,197,0.6531
4,74,0.6531
82,186,0.6529
145,185,0.6529
32,209,0.6527000000000001
42,47,0.6524
117,134,0.6524
123,238,0.6522
36,43,0.6522
115,117,0.6517999999999999
87,244,0.6517
65,161,0.6517
170,171,0.6516
62,156,0.6515
61,152,0.6515
141,189,0.6515
103,112,0.6515
136,165,0.6515
89,92,0.6513
66,142,0.6513
14,30,0.6507000000000001
5,30,0.6505000000000001
152,248,0.6504
75,238,0.6502
143,183,0.6502
93,136,0.6501
111,150,0.6501
65,162,0.65
133,151,0.65
47,156,0.6498999999999999
202,233,0.6498999999999999
40,106,0.6497999999999999
25,83,0.6497999999999999
113,207,0.6496
13,72,0.6494
6,109,0.6494
149,233,0.6488
85,129,0.6487
85,150,0.6484
85,179,0.6478999999999999
9,12,0.6477999999999999
73,79,0.6476999999999999
22,150,0.6476
34,218,0.6476
77,220,0.6476
6,41,0.6471
117,153,0.6469
14,184,0.6467
159,176,0.6467
60,111,0.6466000000000001
125,201,0.6465000000000001
127,218,0.6463
38,157,0.6463
42,151,0.6462
30,145,0.646
24,159,0.6457999999999999
192,197,0.6457999999999999
27,207,0.6457999999999999
13,133,0.6456999999999999
185,191,0.6454
40,214,0.6454
159,255,0.6453
198,219,0.6453
14,130,0.6452
83,250,0.6452
38,47,0.6451
78,171,0.645
112,226,0.6449
114,144,0.6448
31,216,0.6448
30,191,0.6447
103,144,0.6447
181,216,0.6445000000000001
117,190,0.6444
84,139,0.6444
28,98,0.6443
83,125,0.6443
72,79,0.6441
53,172,0.644
237,243,0.6437999999999999
185,234,0.6435
44,109,0.6431
108,153,0.6431
41,90,0.6428
125,145,0.6427
22,215,0.6425000000000001
143,181,0.6424000000000001
4,8,0.6424000000000001
200,239,0.6424000000000001
42,177,0.6423
138,142,0.6422
189,191,0.642
61,190,0.642
11,152,0.6419
15,31,0.6419
53,170,0.6419
65,183,0.6414
13,44,0.6414
122,233,0.641
13,31,0.641
104,224,0.6409
28,106,0.6408
47,191,0.6407
130,151,0.6406000000000001
170,192,0.6403
90,201,0.6401
99,134,0.64
5,133,0.64
46,77,0.6395
26,157,0.6393
26,44,0.6391
92,232,0.639
78,123,0.639
15,109,0.639
55,84,0.639
71,220,0.6389
13,47,0.6389
84,150,0.6388
80,142,0.6388
13,125,0.6387
56,154,0.6387
62,190,0.6386000000000001
9,158,0.6384000000000001
143,162,0.6383
15,184,0.6383
33,249,0.6383
137,162,0.6382
47,180,0.6381
49,102,0.6377999999999999
91,106,0.6376999999999999
26,125,0.6376999999999999
180,183,0.6372
78,172,0.6372
58,82,0.637
8,172,0.6367
147,201,0.6364000000000001
85,173,0.6362
109,176,0.6361
51,123,0.636
55,154,0.6359
200,208,0.6356999999999999
93,187,0.6355999999999999
118,130,0.6353
4,123,0.6352
82,250,0.6349
68,192,0.6349
110,168,0.6348
39,196,0.6347
141,216,0.6347
30,159,0.6346
104,115,0.6344000000000001
16,209,0.6341
90,157,0.634
70,221,0.6337999999999999
67,118,0.6335999999999999
91,109,0.6335999999999999
97,98,0.6335
150,160,0.6335
25,159,0.6335
42,82,0.6333
218,243,0.6333
210,243,0.6332
35,182,0.6332
28,40,0.6332
25,118,0.6331
106,186,0.633
70,178,0.6328
7,175,0.6327
5,109,0.6326
27,113,0.6324000000000001
87,96,0.6324000000000001
38,177,0.6323
199,208,0.6323
